'2021-01-10T22:01:02.024Z','info','griddersetup','process$','initilizing process','undefined'
'2021-01-10T22:01:02.041Z','info','gridder','process$','connected with Cell PG at cell-db-postgis-dev','undefined'
'2021-01-10T22:01:02.070Z','info','griddersetup','process$','connected with source PG at 37north.io','undefined'
'2021-01-10T22:01:02.097Z','info','griddersetup','process$','added objects to the DB','undefined'
'2021-01-10T22:01:02.261Z','info','griddersetup','process$','GridderTask set up','undefined'
'2021-01-10T22:06:42.037Z','info','griddersetup','process$','initilizing process','undefined'
'2021-01-10T22:06:42.057Z','info','gridder','process$','connected with Cell PG at cell-db-postgis-dev','undefined'
'2021-01-10T22:06:42.118Z','info','griddersetup','process$','connected with source PG at 37north.io','undefined'
'2021-01-10T22:06:42.164Z','info','griddersetup','process$','added objects to the DB','undefined'
'2021-01-10T22:06:42.325Z','info','griddersetup','process$','GridderTask set up','undefined'
