'2021-01-11T22:43:10.974Z','error','griddersetup','process$','error adding source connection: RxPg ORM n pgInsert$ method params [cellRawData,Cell Raw Data,Connection to Cell Raw Data database to consume original data vectors.,griddersetup,cell_raw_data,37north.io,200,10,3j329fjvkd2345-:k342ju,5632,postgres] duplicated: duplicate key value violates unique constraint "pg_connection_pkey"','undefined'
'2021-01-11T22:43:10.978Z','error','griddersetup','process$','error adding grid: RxPg ORM l pgInsert$ method params [eu-grid,eu-grid,A grid based on the official EU one,3035,2700000,1500000,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]] duplicated: duplicate key value violates unique constraint "grid_pkey"','undefined'
'2021-01-11T22:43:10.978Z','info','griddersetup','process$','added objects to the DB','undefined'
'2021-01-11T22:43:10.985Z','info','griddersetup','process$','GridderTask set up','undefined'
'2021-01-11T22:43:11.002Z','error','griddersetup','process$','error adding source connection: RxPg ORM n pgInsert$ method params [cellRawData,Cell Raw Data,Connection to Cell Raw Data database to consume original data vectors.,griddersetup,cell_raw_data,37north.io,200,10,3j329fjvkd2345-:k342ju,5632,postgres] duplicated: duplicate key value violates unique constraint "pg_connection_pkey"','undefined'
'2021-01-11T22:43:11.006Z','error','griddersetup','process$','error adding gridder task: RxPg ORM m pgInsert$ method params [gridderTaskMdtProcessing,MDTPROCESSING,Interpolación MDT por media de alturas e IDW,Interpolación del Modelo Digital del Terreno (MDT) mediante el método de media de alturas si la densidad de puntos de alturas es lo suficientemente alta en la celda o por interpolación Inverse Distance Weighting si no.,mdt.mdt,geom,[object Object]] duplicated: duplicate key value violates unique constraint "gridder_task_pkey"','undefined'
'2021-01-11T22:43:11.007Z','error','griddersetup','process$','error adding grid: RxPg ORM l pgInsert$ method params [eu-grid,eu-grid,A grid based on the official EU one,3035,2700000,1500000,[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]] duplicated: duplicate key value violates unique constraint "grid_pkey"','undefined'
'2021-01-11T22:43:11.007Z','info','griddersetup','process$','added objects to the DB','undefined'
'2021-01-11T22:44:18.247Z','info','griddersetup','process$','initilizing process','undefined'
'2021-01-11T22:44:18.258Z','info','griddersetup','process$','initilizing process','undefined'
'2021-01-11T22:44:18.261Z','info','griddersetup','process$','initilizing process','undefined'
'2021-01-11T22:44:18.263Z','info','griddersetup','process$','initilizing process','undefined'
'2021-01-11T22:44:18.266Z','info','griddersetup','process$','initilizing process','undefined'
'2021-01-11T22:44:18.286Z','info','gridder','process$','connected with Cell PG at cell-db-postgis-dev','undefined'
'2021-01-11T22:44:18.329Z','info','gridder','process$','connected with Cell PG at cell-db-postgis-dev','undefined'
'2021-01-11T22:44:18.338Z','info','griddersetup','process$','connected with source PG at 37north.io','undefined'
'2021-01-11T22:44:18.429Z','info','gridder','process$','connected with Cell PG at cell-db-postgis-dev','undefined'
'2021-01-11T22:44:18.437Z','info','griddersetup','process$','connected with source PG at 37north.io','undefined'
'2021-01-11T22:44:18.671Z','info','gridder','process$','connected with Cell PG at cell-db-postgis-dev','undefined'
'2021-01-11T22:44:18.734Z','info','gridder','process$','connected with Cell PG at cell-db-postgis-dev','undefined'
'2021-01-11T22:44:18.734Z','info','griddersetup','process$','connected with source PG at 37north.io','undefined'
'2021-01-11T22:44:18.739Z','info','griddersetup','process$','connected with source PG at 37north.io','undefined'
'2021-01-11T22:44:18.843Z','info','griddersetup','process$','connected with source PG at 37north.io','undefined'
